Medicine_ID,Counterfeit_Weight,DistArea_ID,Active_Since,Medicine_MRP,Medicine_Type,SidEffect_Level,Availability_rating,Area_Type,Area_City_Type,Area_dist_level,Counterfeit_Sales
KSO48,NA,Area019,1983,207.1794,Antipyretics,critical,0.268394896,MidTownResidential,Tier 1,Small,893.3176
BMX49,8.69,Area046,1995,154.1812,Tranquilizers,mild,0.080779712,DownTown,Tier 1,Small,3247.5864
SMM50,11.495,Area013,1985,151.8154,OralContraceptives,mild,0.172803853,DownTown,Tier 3,High,963.8924
MXK51,11.195,Area013,1985,127.3492,Cardiac,critical,0.041696932,DownTown,Tier 3,High,923.9444
DFS52,12.195,Area017,2005,206.6794,Antibiotics,mild,0.078041581,DownTown,Tier 2,Unknown,3234.2704
NAQ53,13.45,Area017,2005,161.7708,Antiseptics,mild,0.041760013,DownTown,Tier 2,Unknown,4928.0656
QYX54,9.205,Area018,2007,259.3408,Hreplacements,mild,0.023053105,Industrial,Tier 3,Medium,6371.52
ZKO55,10.495,Area045,2000,116.4622,Antiseptics,mild,0.061157338,DownTown,Tier 2,Unknown,2230.244
MQO56,9.665,Area049,1997,48.3506,Statins,mild,0.084958197,DownTown,Tier 1,Medium,909.9626
HMA57,16.4,Area046,1995,204.811,Hreplacements,mild,0.186481304,DownTown,Tier 1,Small,5023.275
TNM58,NA,Area019,1983,190.3344,Cardiac,mild,0.074082177,MidTownResidential,Tier 1,Small,1005.172
YJY59,11.3,Area018,2007,257.2144,Antibiotics,mild,0.013,Industrial,Tier 3,Medium,3298.1872
DPF60,9.27,Area045,2000,97.6514,Antimalarial,critical,0.053071131,DownTown,Tier 2,Unknown,1175.6168
UCX61,NA,Area027,1983,48.5848,Antibiotics,mild,0.025090074,CityLimits,Tier 3,Medium,597.7024
DUJ62,NA,Area019,1983,61.3692,OralContraceptives,critical,0.16328599,MidTownResidential,Tier 1,Small,260.8076
RGL63,NA,Area027,1983,266.1356,Hreplacements,mild,0.039015519,CityLimits,Tier 3,Medium,2656.356
PAL64,19,Area010,1996,195.7266,Hreplacements,mild,0.208068226,MidTownResidential,Tier 3,Unknown,297.4266
LLH65,20.65,Area035,2002,182.8738,Antimalarial,mild,0.046082215,DownTown,Tier 2,Small,4978.6664
ORX66,14.95,Area045,2000,196.324,Antipyretics,critical,0.091946455,DownTown,Tier 2,Unknown,1231.544
IWK67,18.9,Area045,2000,175.1526,Analgesics,mild,0.054700756,DownTown,Tier 2,Unknown,2415.3364
PRC68,9.945,Area046,1995,106.141,Tranquilizers,mild,0.156422643,DownTown,Tier 1,Small,2140.361
AUO69,16.9,Area046,1995,180.4764,Hreplacements,critical,0.118296072,DownTown,Tier 1,Small,3548.528
EBS47,17.15,Area013,1985,69.522,Mstablizers,critical,0.134531501,DownTown,Tier 3,High,712.22
PVE70,19.55,Area045,2000,175.0526,Antifungal,mild,0.013,DownTown,Tier 2,Unknown,4717.6728
OGZ71,9.155,Area017,2005,199.9188,Cardiac,mild,0.024324862,DownTown,Tier 2,Unknown,2398.0256
NCI72,9.125,Area049,1997,264.6698,Antiseptics,mild,0.199357148,DownTown,Tier 1,Medium,5693.7356
VPO73,9.69,Area046,1995,124.3176,OralContraceptives,critical,0.037205661,DownTown,Tier 1,Small,2403.352
AHD74,14.15,Area049,1997,182.6422,Hreplacements,mild,0.046230816,DownTown,Tier 1,Medium,1320.0954
OIX75,NA,Area019,1983,100.2804,Mstablizers,mild,0.126720344,MidTownResidential,Tier 1,Small,756.1628
UXD76,20.3,Area017,2005,115.2622,OralContraceptives,mild,0.125556507,DownTown,Tier 2,Unknown,1700.933
CNC77,7.205,Area045,2000,232.8456,Cardiac,mild,0.013,DownTown,Tier 2,Unknown,5418.0944
XPL78,9.06,Area046,1995,112.17,Hreplacements,mild,0.072352241,DownTown,Tier 1,Small,1810.79
EKB79,13.1,Area046,1995,190.6344,OralContraceptives,critical,0.027087057,DownTown,Tier 1,Small,1540.4752
ACC80,18.05,Area018,2007,198.2556,Hreplacements,mild,0.058230944,Industrial,Tier 3,Medium,4806.89
LSU81,NA,Area019,1983,204.9136,Antiseptics,mild,0.306417759,MidTownResidential,Tier 1,Small,696.2408
ZSC82,NA,Area027,1983,181.6764,Mstablizers,critical,0.044382044,CityLimits,Tier 3,Medium,3204.9752
GKR83,16.8,Area017,2005,187.3028,Antibiotics,critical,0.13939886,DownTown,Tier 2,Unknown,2592.4392
LYV84,7.355,Area035,2002,171.292,Antibiotics,mild,0.038403898,DownTown,Tier 2,Small,2829.464
XEM85,NA,Area027,1983,166.263,Stimulants,critical,0.052057677,CityLimits,Tier 3,Medium,3398.723
RHR86,7.605,Area046,1995,105.9436,Hreplacements,critical,0.136115764,DownTown,Tier 1,Small,774.8052
WEP87,22.15,Area049,1997,127.5808,Antimalarial,mild,0.052624006,DownTown,Tier 1,Medium,1636.3504
SZA88,22.05,Area010,1996,132.473,Antibiotics,mild,0.053421193,MidTownResidential,Tier 3,Unknown,482.519
CSV89,10.195,Area049,1997,50.2138,Antipyretics,mild,0.118274111,DownTown,Tier 1,Medium,803.4346
QAE90,20.9,Area045,2000,65.4614,Analgesics,mild,0.046970195,DownTown,Tier 2,Unknown,1494.535
VOR91,21,Area035,2002,68.193,Antibiotics,mild,0.066212652,DownTown,Tier 2,Small,735.523
FQX92,11.1,Area035,2002,124.8492,Tranquilizers,mild,0.037378706,DownTown,Tier 2,Small,1387.3412
QUO93,NA,Area019,1983,130.3414,OralContraceptives,mild,0.022714595,MidTownResidential,Tier 1,Small,600.3656
ECE94,13.45,Area049,1997,256.346,OralContraceptives,mild,0.144383762,DownTown,Tier 1,Medium,1344.73
IYM95,10.05,Area035,2002,197.7556,Antibiotics,critical,0.08761309,DownTown,Tier 2,Small,3868.112
NAQ53,NA,Area027,1983,160.2708,Antiseptics,mild,0.041459761,CityLimits,Tier 3,Medium,4476.6532
IYM95,10.05,Area046,1995,198.1556,Antibiotics,critical,0.087627201,DownTown,Tier 1,Small,1427.2892
HJZ96,14.6,Area045,2000,161.3708,OralContraceptives,mild,0.076695084,DownTown,Tier 2,Unknown,1918.6496
FTE97,NA,Area027,1983,188.8344,Hreplacements,critical,0.058797829,CityLimits,Tier 3,Medium,2967.9504
OGW98,9.61,Area049,1997,189.4028,Hreplacements,critical,0.128857223,DownTown,Tier 1,Medium,4009.2616
IOG99,18.05,Area013,1985,49.0822,Analgesics,critical,0.037832806,DownTown,Tier 3,High,780.7974
XQU10,21.05,Area018,2007,222.3902,Hreplacements,mild,0.047027909,Industrial,Tier 3,Medium,3298.853
JFX10,18.4,Area013,1985,151.4838,Cardiac,critical,0.0597696,DownTown,Tier 3,High,2360.7408
AHZ10,11.8,Area013,1985,173.421,Mstablizers,critical,0.129576702,DownTown,Tier 3,High,1907.331
UBN10,7.935,Area045,2000,131.6098,Mstablizers,critical,0.013,DownTown,Tier 2,Unknown,2643.7058
OPR10,NA,Area019,1983,235.672,Analgesics,mild,0.291974075,MidTownResidential,Tier 1,Small,792.116
HWE10,15.45,Area013,1985,51.7138,Analgesics,mild,0.048913805,DownTown,Tier 3,High,925.276
KAY10,14.6,Area046,1995,242.83,Antipyretics,mild,0.092806266,DownTown,Tier 1,Small,812.09
AIR10,10.19,Area017,2005,112.7016,OralContraceptives,mild,0.018505481,DownTown,Tier 2,Unknown,2845.4432
JLR10,NA,Area019,1983,187.237,Antimalarial,critical,0.077625342,MidTownResidential,Tier 1,Small,289.437
NXX10,NA,Area027,1983,132.0098,Hreplacements,mild,0.084636937,CityLimits,Tier 3,Medium,4210.3332
DUQ11,10.4,Area045,2000,183.5054,Antacids,critical,0.013,DownTown,Tier 2,Unknown,3264.8972
DBJ11,8.8,Area049,1997,249.3906,OralContraceptives,mild,0.045677678,DownTown,Tier 1,Medium,6055.265
XZA11,18.15,Area017,2005,202.7478,OralContraceptives,critical,0.173760054,DownTown,Tier 2,Unknown,4956.695
QEI11,8.785,Area035,2002,119.3228,Hreplacements,mild,0.08211065,DownTown,Tier 2,Small,2655.0244
ROJ11,12.9,Area017,2005,150.6154,Analgesics,mild,0.054177505,DownTown,Tier 2,Unknown,2665.6772
NIC11,12.95,Area018,2007,237.3694,Hreplacements,mild,0.053081193,Industrial,Tier 3,Medium,1254.847
LYL11,14.3,Area017,2005,57.8034,Antiseptics,mild,0.048307322,DownTown,Tier 2,Unknown,793.4476
YRD11,13.95,Area045,2000,169.3578,Analgesics,mild,0.076017847,DownTown,Tier 2,Unknown,2198.9514
BGH11,21.55,Area010,1996,102.812,Cardiac,critical,0.184938781,MidTownResidential,Tier 3,Unknown,299.424
RYG11,9.9,Area035,2002,200.453,Cardiac,critical,0.053197932,DownTown,Tier 2,Small,3149.048
CTO12,13.9,Area017,2005,73.0194,Antacids,mild,0.062058014,DownTown,Tier 2,Unknown,979.8716
SIY12,19,Area035,2002,105.341,OralContraceptives,mild,0.02461096,DownTown,Tier 2,Small,981.869
JLD12,15.45,Area046,1995,92.7276,Analgesics,mild,0.196507295,DownTown,Tier 1,Small,1250.1864
OJT30,20.55,Area017,2005,63.0956,Antipyretics,mild,0.115349519,DownTown,Tier 2,Unknown,1041.1252
SLY12,10.18,Area013,1985,162.0682,Statins,mild,0.099708987,DownTown,Tier 3,High,875.341
XHQ12,21.8,Area045,2000,50.5822,Antiseptics,mild,0.045835147,DownTown,Tier 2,Unknown,820.0796
WGC12,NA,Area027,1983,190.8976,Cardiac,mild,0.046809913,CityLimits,Tier 3,Medium,8081.2944
FCJ12,14.8,Area046,1995,170.592,Antiseptics,mild,0.08566912,DownTown,Tier 1,Small,1551.128
EBV12,NA,Area027,1983,234.7404,Tranquilizers,mild,0.157338493,CityLimits,Tier 3,Medium,7089.2524
AIR10,10.19,Area010,1996,112.0016,OralContraceptives,mild,0.022163216,MidTownResidential,Tier 3,Unknown,214.2016
OGZ71,9.155,Area018,2007,198.8188,Cardiac,mild,0.024307038,Industrial,Tier 3,Medium,1065.094
NSG12,8.535,Area046,1995,126.3492,Antiseptics,mild,0.089855628,DownTown,Tier 1,Small,2082.4364
PVE70,NA,Area027,1983,175.7526,Antifungal,mild,0.072956876,CityLimits,Tier 3,Medium,5375.4832
ZJZ12,8.22,Area045,2000,70.8852,Antipyretics,mild,0.051532062,DownTown,Tier 2,Unknown,1427.2892
YOV13,10.6,Area017,2005,101.1172,Antibiotics,mild,0.056209581,DownTown,Tier 2,Unknown,648.3032
XRY13,19.8,Area010,1996,142.4284,MuscleRelaxants,mild,0.069816465,MidTownResidential,Tier 3,Unknown,376.6568
TGT13,9.32,Area035,2002,164.8972,Antiseptics,mild,0.032866705,DownTown,Tier 2,Small,1515.1748
ZKO55,10.495,Area017,2005,115.4622,Antiseptics,mild,0.061331717,DownTown,Tier 2,Unknown,1806.7952
UYP13,14.1,Area045,2000,115.8938,MuscleRelaxants,mild,0.104221855,DownTown,Tier 2,Unknown,2256.876
CPF13,17.9,Area049,1997,187.9344,Antiseptics,mild,0.040622076,DownTown,Tier 1,Medium,2789.516
DBA13,15.3,Area035,2002,63.364,OralContraceptives,critical,0.013,DownTown,Tier 2,Small,1018.488
RCF13,19.9,Area049,1997,256.6802,OralContraceptives,mild,0.052355947,DownTown,Tier 1,Medium,7483.406
QGV13,17.3,Area035,2002,237.1404,Antifungal,mild,0.073836524,DownTown,Tier 2,Small,6414.1312
LKL13,18.9,Area035,2002,170.992,Tranquilizers,mild,0.095316506,DownTown,Tier 2,Small,1710.92
PUB13,22.55,Area035,2002,188.537,Hreplacements,mild,0.168350299,DownTown,Tier 2,Small,642.311
NSG12,8.535,Area035,2002,127.8492,Antiseptics,mild,0.089841095,DownTown,Tier 2,Small,2082.4364
MKK14,15.9,Area017,2005,60.6692,Analgesics,mild,0.164419185,DownTown,Tier 2,Unknown,1147.6532
WEE24,15.15,Area018,2007,171.821,OralContraceptives,critical,0.039001976,Industrial,Tier 3,Medium,1907.331
MGN14,14.95,Area018,2007,207.9426,OralContraceptives,critical,0.086209447,Industrial,Tier 3,Medium,2881.3964
KXG14,NA,Area027,1983,41.59,Analgesics,mild,0.054683481,CityLimits,Tier 3,Medium,1011.83
MPG14,8.665,Area046,1995,236.472,Antibiotics,mild,0.055560252,DownTown,Tier 1,Small,3282.208
FZC14,19.65,Area018,2007,233.8746,Antiseptics,mild,0.027081156,Industrial,Tier 3,Medium,3702.9936
KXU14,6.765,Area018,2007,142.8626,Mstablizers,critical,0.013,Industrial,Tier 3,Medium,375.3252
IGC14,19.9,Area017,2005,110.1358,Stimulants,mild,0.165918384,DownTown,Tier 2,Unknown,2023.1802
YBZ14,15.15,Area017,2005,151.2154,Analgesics,mild,0.043969274,DownTown,Tier 2,Unknown,1814.7848
EXZ14,15.3,Area013,1985,164.8656,OralContraceptives,critical,0.073376776,DownTown,Tier 3,High,2584.4496
BEB14,15.3,Area013,1985,65.064,Hreplacements,critical,0.05492285,DownTown,Tier 3,High,1444.6
KFD15,NA,Area027,1983,107.3094,Antibiotics,mild,0.090367431,CityLimits,Tier 3,Medium,1921.9786
CNC77,7.205,Area018,2007,232.8456,Cardiac,mild,0.058838211,Industrial,Tier 3,Medium,3428.684
JTU15,8.57,Area046,1995,124.5518,Analgesics,mild,0.084077939,DownTown,Tier 1,Small,2731.5914
JCW15,7.455,Area046,1995,224.856,Antimalarial,critical,0.107659871,DownTown,Tier 1,Small,2882.728
GEL15,20.8,Area017,2005,243.7958,Analgesics,critical,0.090608838,DownTown,Tier 2,Unknown,5488.0034
OQH15,16.5,Area017,2005,227.1824,Cardiac,mild,0.034327477,DownTown,Tier 2,Unknown,2951.9712
CBZ43,13.45,Area018,2007,135.3046,Cardiac,critical,0.055485444,Industrial,Tier 3,Medium,1856.0644
SMU22,NA,Area027,1983,209.1084,Antiseptics,mild,0.038578526,CityLimits,Tier 3,Medium,5668.4352
CTO12,13.9,Area018,2007,72.2194,Antacids,mild,0.0619808,Industrial,Tier 3,Medium,732.194
IND15,15.8,Area035,2002,175.121,MuscleRelaxants,mild,0.032471688,DownTown,Tier 2,Small,2233.573
UQC15,17.9,Area017,2005,183.3738,Antibiotics,mild,0.135918852,DownTown,Tier 2,Unknown,3936.0236
RRA15,13.1,Area013,1985,161.7366,Antimalarial,critical,0.070373797,DownTown,Tier 3,High,1473.2294
RAH15,14.4,Area013,1985,189.1318,Antibiotics,critical,0.057155597,DownTown,Tier 3,High,4082.4996
OXW15,19,Area010,1996,125.4834,Antibiotics,mild,0.304865402,MidTownResidential,Tier 3,Unknown,458.5502
AKE16,19.15,Area010,1996,206.8794,Antacids,mild,0.013,MidTownResidential,Tier 3,Unknown,698.2382
GNX16,13.6,Area045,2000,102.9804,Antifungal,critical,0.077750025,DownTown,Tier 2,Unknown,1123.6844
GRU16,13.1,Area010,1996,91.7618,Tranquilizers,mild,0.111312421,MidTownResidential,Tier 3,Unknown,274.1236
WJU16,NA,Area019,1983,52.4112,Analgesics,critical,0.204013663,MidTownResidential,Tier 1,Small,155.6112
QPF16,12.4,Area045,2000,167.7604,Mstablizers,mild,0.189573035,DownTown,Tier 2,Unknown,3123.7476
EXZ14,NA,Area027,1983,163.3656,OralContraceptives,critical,0.073134441,CityLimits,Tier 3,Medium,6137.1584
UHF16,12.6,Area045,2000,208.4426,Antimalarial,mild,0.020294652,DownTown,Tier 2,Unknown,1101.713
XTN16,NA,Area019,1983,128.244,Tranquilizers,mild,0.141478462,MidTownResidential,Tier 1,Small,352.688
ITH16,7.05,Area013,1985,123.1176,Antipyretics,critical,0.088107656,DownTown,Tier 3,High,1487.2112
JSI16,NA,Area027,1983,237.1062,Mstablizers,critical,0.062381406,CityLimits,Tier 3,Medium,4852.8302
COQ16,12.65,Area018,2007,110.3016,Hreplacements,critical,0.058165796,Industrial,Tier 3,Medium,1125.016
DMG17,NA,Area019,1983,176.0526,Antibiotics,critical,0.10715375,MidTownResidential,Tier 1,Small,770.8104
OJL17,15.3,Area049,1997,140.731,Tranquilizers,mild,0.041907832,DownTown,Tier 1,Medium,891.986
ENH17,21.05,Area045,2000,190.066,OralContraceptives,critical,0.031059621,DownTown,Tier 2,Unknown,2449.958
FMO17,7.825,Area049,1997,95.3882,Antiseptics,mild,0.103436094,DownTown,Tier 1,Medium,2346.0932
GMN17,11.6,Area049,1997,114.2648,Antimalarial,mild,0.159399712,DownTown,Tier 1,Medium,1774.8368
YSQ17,7.08,Area049,1997,275.0568,Hreplacements,critical,0.087264356,DownTown,Tier 1,Medium,4858.8224
XZQ17,13.15,Area045,2000,174.4526,Antibiotics,critical,0.063186726,DownTown,Tier 2,Unknown,3237.5994
LNA17,17.65,Area018,2007,60.4324,Antibiotics,mild,0.033631654,Industrial,Tier 3,Medium,580.3916
MIH17,NA,Area027,1983,192.8976,Antiseptics,mild,0.02861108,CityLimits,Tier 3,Medium,5183.7328
RPO17,11.8,Area046,1995,47.9164,Antibiotics,mild,0.054395445,DownTown,Tier 1,Small,653.6296
DZQ18,20.3,Area046,1995,58.3718,OralContraceptives,critical,0.110313129,DownTown,Tier 1,Small,1105.7078
QSD18,15.9,Area049,1997,249.1538,MuscleRelaxants,mild,0.072582996,DownTown,Tier 1,Medium,6121.845
EPQ18,NA,Area027,1983,73.2194,Antipyretics,critical,0.111663652,CityLimits,Tier 3,Medium,2218.2596
JJF18,NA,Area027,1983,242.93,Cardiac,critical,0.114338651,CityLimits,Tier 3,Medium,5472.69
KBR18,20.05,Area045,2000,114.928,Tranquilizers,mild,0.065146456,DownTown,Tier 2,Unknown,858.696
OZD18,6.56,Area035,2002,172.1868,Mstablizers,critical,0.054764487,DownTown,Tier 2,Small,3388.736
PJM18,19.55,Area045,2000,150.5154,Hreplacements,mild,0.067344186,DownTown,Tier 2,Unknown,1814.7848
POR18,NA,Area027,1983,188.237,Mstablizers,mild,0.091362484,CityLimits,Tier 3,Medium,6817.606
MXD18,16.4,Area046,1995,253.0512,Antimalarial,mild,0.065339069,DownTown,Tier 1,Small,4232.9704
NMJ18,16.8,Area010,1996,91.8934,Mstablizers,critical,0.055464962,MidTownResidential,Tier 3,Unknown,440.5736
QGK19,14.95,Area049,1997,56.0402,OralContraceptives,mild,0.078732883,DownTown,Tier 1,Medium,893.9834
KBR19,17.4,Area045,2000,199.6846,Analgesics,mild,0.036625114,DownTown,Tier 2,Unknown,3743.6074
WLW19,NA,Area019,1983,117.6622,Hreplacements,critical,0.064643608,MidTownResidential,Tier 1,Small,430.5866
VBF19,14.15,Area010,1996,50.0164,OralContraceptives,mild,0.178694219,MidTownResidential,Tier 3,Unknown,344.6984
KXG14,10.8,Area035,2002,43.29,Analgesics,mild,0.054878397,DownTown,Tier 2,Small,246.16
TMZ19,15.1,Area035,2002,255.4802,Antipyretics,mild,0.071091482,DownTown,Tier 2,Small,5763.6446
YSQ17,7.08,Area017,2005,274.0568,Hreplacements,critical,0.013,DownTown,Tier 2,Unknown,2749.568
IAU19,21,Area045,2000,106.3726,Antiseptics,mild,0.039903714,DownTown,Tier 2,Unknown,1385.3438
CCH19,15.95,Area010,1996,171.8552,Antiseptics,mild,0.013,MidTownResidential,Tier 3,Unknown,437.9104
TKG19,7.97,Area010,1996,140.3626,Hreplacements,critical,0.163554711,MidTownResidential,Tier 3,Unknown,244.1626
YEN19,7.41,Area010,1996,141.5968,Antibiotics,critical,0.013,MidTownResidential,Tier 3,Unknown,373.9936
MUE19,14.95,Area010,1996,270.3936,OralContraceptives,critical,0.147975628,MidTownResidential,Tier 3,Unknown,373.9936
HST20,18.5,Area013,1985,170.9578,Antimalarial,mild,0.16916879,DownTown,Tier 3,High,3803.5294
DPL20,7.62,Area035,2002,50.5822,Antimalarial,mild,0.013,DownTown,Tier 2,Small,1252.1838
JTL20,6.18,Area049,1997,63.2298,Mstablizers,critical,0.146700752,DownTown,Tier 1,Medium,2108.4026
WAT20,6.725,Area017,2005,98.6514,Mstablizers,critical,0.128119905,DownTown,Tier 2,Unknown,1529.8224
LCH20,17.15,Area046,1995,47.5506,OralContraceptives,critical,0.123030997,DownTown,Tier 1,Small,378.6542
AEN20,8.8,Area017,2005,132.0072,Cardiac,mild,0.064038045,DownTown,Tier 2,Unknown,3665.7088
YRD11,13.95,Area013,1985,171.8578,Analgesics,mild,0.075837968,DownTown,Tier 3,High,2519.867
UNF20,NA,Area019,1983,222.256,MuscleRelaxants,mild,0.030116983,MidTownResidential,Tier 1,Small,326.056
SZA88,22.05,Area013,1985,134.473,Antibiotics,mild,0.037129332,DownTown,Tier 3,High,3069.152
DDK20,NA,Area019,1983,162.434,Antipyretics,mild,0.062754975,MidTownResidential,Tier 1,Small,266.134
TPX20,10.3,Area035,2002,90.0644,Cardiac,mild,0.013,DownTown,Tier 2,Small,1762.8524
QNR20,NA,Area027,1983,192.2292,Cardiac,mild,0.114561568,CityLimits,Tier 3,Medium,3214.2964
IUN21,NA,Area027,1983,175.9526,Antiseptics,mild,0.018949644,CityLimits,Tier 3,Medium,4882.1254
ORS21,NA,Area027,1983,180.7764,Antiviral,critical,0.15256116,CityLimits,Tier 3,Medium,3548.528
HMI21,15.4,Area045,2000,96.7198,Antibiotics,mild,0.139035694,DownTown,Tier 2,Unknown,1246.8574
ZWS21,8.85,Area035,2002,162.634,Cardiac,mild,0.040164679,DownTown,Tier 2,Small,2716.278
KLY25,14.3,Area046,1995,55.706,Antiseptics,mild,0.112325278,DownTown,Tier 1,Small,718.878
VPF21,NA,Area027,1983,203.1846,Statins,mild,0.05657366,CityLimits,Tier 3,Medium,2406.0152
GKK14,NA,Area019,1983,129.0782,Hreplacements,critical,0.095741482,MidTownResidential,Tier 1,Small,232.1782
GNX16,13.6,Area013,1985,103.2804,Antifungal,critical,0.077565202,DownTown,Tier 3,High,2042.4884
FKP21,NA,Area027,1983,120.1912,Hreplacements,mild,0.097554569,CityLimits,Tier 3,Medium,2187.6328
GRU16,NA,Area027,1983,90.2618,Tranquilizers,mild,0.071451805,CityLimits,Tier 3,Medium,354.6854
YQV21,18.55,Area045,2000,261.6724,Antiseptics,mild,0.126748685,DownTown,Tier 2,Unknown,6908.1548
